Hour,Date,App_Opens,Trips,Distance to Closest Bike,Battery % - Start,Battery % - End,Starting Geo,Ending Geo,,,,,
3,23-Jul,1,1,0.38,52,33,Geo 3,Geo 3,,,,,
3,23-Jul,1,1,0.08,46,32,Geo 1,Geo 2,,,,,
3,23-Jul,1,1,0.09,70,46,Geo 3,Geo 4,,,,,
3,23-Jul,1,1,0.22,37,32,Geo 2,Geo 1,,,,,
3,23-Jul,1,1,0.44,42,27,Geo 3,Geo 5,,,,,
3,23-Jul,1,1,0.22,38,29,Geo 2,Geo 3,,,,,
3,23-Jul,1,1,0.14,96,86,Geo 2,Geo 2,,,,,
3,23-Jul,1,1,0.29,47,36,Geo 2,Geo 1,,,,,
3,23-Jul,1,1,0.15,48,44,Geo 2,Geo 1,,,,,
3,23-Jul,1,1,0.23,40,29,Geo 2,Geo 2,,,,,
3,23-Jul,1,1,0.39,34,31,Geo 2,Geo 3,,,,,
3,23-Jul,1,1,0.03,35,19,Geo 1,Geo 4,,,,,
3,23-Jul,1,1,0.39,42,28,Geo 2,Geo 4,,,,,
3,23-Jul,1,1,0.22,99,91,Geo 1,Geo 2,,,,,
4,23-Jul,1,1,0.22,37,24,Geo 4,Geo 1,,,,,
4,23-Jul,1,1,0.31,30,22,Geo 2,Geo 1,,,,,
4,23-Jul,1,1,0.33,55,53,Geo 2,Geo 4,,,,,
4,23-Jul,1,1,0.11,42,40,Geo 1,Geo 2,,,,,
4,23-Jul,1,1,0.24,34,31,Geo 2,Geo 4,,,,,
4,23-Jul,1,1,0.09,74,66,Geo 2,Geo 3,,,,,
4,23-Jul,1,1,0.28,36,34,Geo 2,Geo 1,,,,,
4,23-Jul,1,1,0.01,82,73,Geo 2,Geo 3,,,,,
4,23-Jul,1,1,0.42,33,16,Geo 2,Geo 3,,,,,
4,23-Jul,1,1,0.01,35,20,Geo 2,Geo 1,,,,,
4,23-Jul,1,1,0.24,69,60,Geo 2,Geo 1,,,,,
5,23-Jul,1,1,0.06,31,29,Geo 2,Geo 3,,,,,
5,23-Jul,1,1,0.16,59,41,Geo 4,Geo 3,,,,,
5,23-Jul,1,1,0.11,82,71,Geo 1,Geo 4,,,,,
5,23-Jul,1,1,0.41,37,19,Geo 3,Geo 3,,,,,
5,23-Jul,1,1,0.27,51,36,Geo 2,Geo 3,,,,,
5,23-Jul,1,1,0.46,38,27,Geo 2,Geo 3,,,,,
5,23-Jul,1,1,0.34,45,42,Geo 2,Geo 2,,,,,
5,23-Jul,1,1,0.13,40,26,Geo 1,Geo 1,,,,,
5,23-Jul,1,1,0.37,76,74,Geo 4,Geo 1,,,,,
5,23-Jul,1,1,0.06,75,71,Geo 2,Geo 5,,,,,
5,23-Jul,1,1,0.06,61,57,Geo 1,Geo 1,,,,,
5,23-Jul,1,1,0.49,43,36,Geo 4,Geo 3,,,,,
5,23-Jul,1,1,0.33,79,69,Geo 1,Geo 1,,,,,
5,23-Jul,1,1,0.24,32,27,Geo 2,Geo 2,,,,,
5,23-Jul,1,1,0.18,38,24,Geo 3,Geo 1,,,,,
5,23-Jul,1,1,0.01,31,18,Geo 2,Geo 5,,,,,
5,23-Jul,1,1,0.18,39,26,Geo 2,Geo 4,,,,,
5,23-Jul,1,1,0.2,69,40,Geo 1,Geo 2,,,,,
5,23-Jul,1,1,0.45,37,34,Geo 4,Geo 2,,,,,
5,23-Jul,2,1,0.22,32,23,Geo 2,Geo 4,,,,,
5,23-Jul,1,1,0.27,30,12,Geo 2,Geo 4,,,,,
6,23-Jul,1,1,0.37,52,37,Geo 3,Geo 4,,,,,
6,23-Jul,1,1,0.05,71,68,Geo 3,Geo 2,,,,,
6,23-Jul,1,1,0.49,88,79,Geo 1,Geo 4,,,,,
6,23-Jul,1,1,0.11,88,78,Geo 3,Geo 2,,,,,
6,23-Jul,1,1,0.42,36,26,Geo 4,Geo 2,,,,,
6,23-Jul,1,1,0.19,83,75,Geo 3,Geo 2,,,,,
6,23-Jul,1,1,0.2,34,18,Geo 2,Geo 1,,,,,
6,23-Jul,1,1,0.29,91,82,Geo 3,Geo 1,,,,,
6,23-Jul,1,1,0.36,84,78,Geo 3,Geo 3,,,,,
6,23-Jul,2,1,0.1,61,55,Geo 3,Geo 1,,,,,
6,23-Jul,1,1,0.46,48,30,Geo 3,Geo 4,,,,,
6,23-Jul,1,1,0.06,31,28,Geo 1,Geo 1,,,,,
6,23-Jul,1,1,0.33,42,37,Geo 1,Geo 1,,,,,
6,23-Jul,1,1,0.09,30,21,Geo 3,Geo 3,,,,,
6,23-Jul,1,1,0.26,36,36,Geo 4,Geo 1,,,,,
6,23-Jul,1,1,0.22,46,36,Geo 3,Geo 3,,,,,
6,23-Jul,1,1,0.19,30,21,Geo 4,Geo 4,,,,,
6,23-Jul,1,1,0.4,32,21,Geo 3,Geo 1,,,,,
6,23-Jul,1,1,0.12,76,72,Geo 3,Geo 1,,,,,
6,23-Jul,1,1,0.35,58,56,Geo 2,Geo 2,,,,,
6,23-Jul,1,1,0.11,46,42,Geo 4,Geo 5,,,,,
6,23-Jul,1,1,0.22,47,47,Geo 1,Geo 1,,,,,
6,23-Jul,1,1,0.34,97,96,Geo 2,Geo 2,,,,,
6,23-Jul,1,1,0.12,44,28,Geo 1,Geo 1,,,,,
6,23-Jul,1,1,0.01,48,30,Geo 1,Geo 4,,,,,
6,23-Jul,1,1,0.28,75,69,Geo 4,Geo 1,,,,,
6,23-Jul,1,1,0.15,79,70,Geo 4,Geo 1,,,,,
6,23-Jul,1,1,0.36,100,99,Geo 2,Geo 4,,,,,
6,23-Jul,1,1,0.16,35,30,Geo 4,Geo 3,,,,,
7,23-Jul,1,1,0.31,92,79,Geo 3,Geo 2,,,,,
7,23-Jul,1,1,0.45,64,47,Geo 3,Geo 1,,,,,
7,23-Jul,1,1,0.31,41,23,Geo 4,Geo 5,,,,,
7,23-Jul,1,1,0.25,40,26,Geo 3,Geo 1,,,,,
7,23-Jul,1,1,0.09,41,24,Geo 1,Geo 4,,,,,
7,23-Jul,1,1,0.49,62,35,Geo 4,Geo 5,,,,,
7,23-Jul,1,1,0.17,56,40,Geo 3,Geo 2,,,,,
7,23-Jul,1,1,0.14,46,39,Geo 2,Geo 2,,,,,
7,23-Jul,1,1,0.02,67,66,Geo 3,Geo 3,,,,,
7,23-Jul,1,1,0.5,59,55,Geo 3,Geo 1,,,,,
7,23-Jul,1,1,0.41,72,64,Geo 3,Geo 3,,,,,
7,23-Jul,1,1,0.33,88,78,Geo 3,Geo 1,,,,,
7,23-Jul,1,1,0.16,82,81,Geo 2,Geo 4,,,,,
7,23-Jul,1,1,0.15,63,44,Geo 1,Geo 4,,,,,
7,23-Jul,1,1,0.47,37,30,Geo 4,Geo 2,,,,,
7,23-Jul,1,1,0.38,87,82,Geo 4,Geo 2,,,,,
7,23-Jul,1,1,0.37,64,54,Geo 3,Geo 1,,,,,
7,23-Jul,1,1,0.19,70,49,Geo 4,Geo 2,,,,,
7,23-Jul,1,1,0.17,82,71,Geo 3,Geo 2,,,,,
7,23-Jul,1,1,0.39,30,29,Geo 4,Geo 1,,,,,
7,23-Jul,1,1,0.36,61,33,Geo 3,Geo 2,,,,,
7,23-Jul,1,1,0.36,39,28,Geo 4,Geo 2,,,,,
7,23-Jul,1,1,0.11,36,20,Geo 4,Geo 2,,,,,
7,23-Jul,1,1,0.45,33,26,Geo 2,Geo 3,,,,,
7,23-Jul,1,1,0.08,57,32,Geo 3,Geo 4,,,,,
7,23-Jul,1,1,0.19,39,26,Geo 3,Geo 2,,,,,
7,23-Jul,1,1,0,46,32,Geo 1,Geo 3,,,,,
7,23-Jul,1,1,0.42,69,63,Geo 4,Geo 3,,,,,
7,23-Jul,1,1,0.05,33,19,Geo 3,Geo 2,,,,,
7,23-Jul,1,1,0.21,96,86,Geo 4,Geo 3,,,,,
7,23-Jul,1,1,0.27,32,18,Geo 2,Geo 1,,,,,
7,23-Jul,1,1,0.07,55,54,Geo 3,Geo 1,,,,,
7,23-Jul,1,1,0.46,78,77,Geo 1,Geo 2,,,,,
7,23-Jul,1,1,0.38,34,17,Geo 4,Geo 1,,,,,
7,23-Jul,1,1,0.42,40,26,Geo 1,Geo 4,,,,,
7,23-Jul,1,1,0.17,34,19,Geo 4,Geo 1,,,,,
7,23-Jul,1,1,0.16,98,89,Geo 2,Geo 1,,,,,
7,23-Jul,1,1,0.27,70,62,Geo 4,Geo 4,,,,,
7,23-Jul,1,1,0.36,51,39,Geo 4,Geo 3,,,,,
7,23-Jul,1,1,0.46,46,44,Geo 4,Geo 3,,,,,
7,23-Jul,1,1,0.49,57,51,Geo 3,Geo 1,,,,,
7,23-Jul,1,1,0.19,52,34,Geo 3,Geo 1,,,,,
7,23-Jul,1,1,0.25,46,32,Geo 1,Geo 3,,,,,
7,23-Jul,1,1,0.25,53,39,Geo 4,Geo 3,,,,,
7,23-Jul,1,1,0.01,46,27,Geo 1,Geo 5,,,,,
7,23-Jul,1,1,0.18,81,72,Geo 1,Geo 2,,,,,
7,23-Jul,1,1,0.38,50,39,Geo 3,Geo 4,,,,,
7,23-Jul,1,1,0.02,37,29,Geo 4,Geo 2,,,,,
7,23-Jul,1,1,0.18,43,33,Geo 1,Geo 3,,,,,
8,23-Jul,1,1,0.13,54,50,Geo 4,Geo 2,,,,,
8,23-Jul,1,1,0.29,40,34,Geo 3,Geo 2,,,,,
8,23-Jul,1,1,0.11,53,40,Geo 1,Geo 5,,,,,
8,23-Jul,1,1,0.27,74,73,Geo 4,Geo 1,,,,,
8,23-Jul,1,1,0.39,32,21,Geo 1,Geo 1,,,,,
8,23-Jul,1,1,0.1,57,39,Geo 1,Geo 3,,,,,
8,23-Jul,1,1,0.2,39,22,Geo 2,Geo 1,,,,,
8,23-Jul,1,1,0.47,93,90,Geo 1,Geo 3,,,,,
8,23-Jul,1,1,0.18,48,35,Geo 3,Geo 2,,,,,
8,23-Jul,1,1,0.48,40,26,Geo 4,Geo 2,,,,,
8,23-Jul,1,1,0.2,35,32,Geo 4,Geo 2,,,,,
8,23-Jul,1,1,0.4,72,67,Geo 2,Geo 4,,,,,
8,23-Jul,1,1,0.3,95,90,Geo 3,Geo 2,,,,,
8,23-Jul,1,1,0.11,36,24,Geo 1,Geo 1,,,,,
8,23-Jul,1,1,0.21,66,40,Geo 3,Geo 2,,,,,
8,23-Jul,1,1,0.21,81,72,Geo 4,Geo 1,,,,,
8,23-Jul,1,1,0.44,39,37,Geo 1,Geo 3,,,,,
8,23-Jul,1,1,0.45,67,61,Geo 1,Geo 1,,,,,
8,23-Jul,1,1,0.05,40,21,Geo 1,Geo 3,,,,,
8,23-Jul,1,1,0.34,44,28,Geo 3,Geo 3,,,,,
8,23-Jul,1,1,0.3,33,21,Geo 1,Geo 4,,,,,
8,23-Jul,1,1,0.18,47,43,Geo 4,Geo 3,,,,,
8,23-Jul,1,1,0.17,63,58,Geo 4,Geo 3,,,,,
8,23-Jul,1,1,0.31,41,28,Geo 3,Geo 3,,,,,
8,23-Jul,1,1,0.49,77,68,Geo 1,Geo 1,,,,,
8,23-Jul,1,1,0.35,35,19,Geo 4,Geo 1,,,,,
8,23-Jul,2,1,0.44,71,67,Geo 2,Geo 3,,,,,
8,23-Jul,1,1,0.4,43,33,Geo 4,Geo 2,,,,,
8,23-Jul,1,1,0.08,39,34,Geo 4,Geo 1,,,,,
8,23-Jul,1,1,0.43,72,60,Geo 1,Geo 2,,,,,
8,23-Jul,1,1,0.16,33,26,Geo 3,Geo 3,,,,,
8,23-Jul,2,1,0.04,53,47,Geo 2,Geo 1,,,,,
8,23-Jul,1,1,0.04,61,49,Geo 4,Geo 3,,,,,
8,23-Jul,1,1,0.46,71,48,Geo 3,Geo 3,,,,,
8,23-Jul,1,1,0.1,35,27,Geo 4,Geo 2,,,,,
8,23-Jul,1,1,0.45,62,62,Geo 1,Geo 2,,,,,
8,23-Jul,1,1,0.08,77,73,Geo 4,Geo 2,,,,,
8,23-Jul,1,1,0.36,65,53,Geo 2,Geo 1,,,,,
8,23-Jul,1,1,0.34,39,18,Geo 4,Geo 3,,,,,
8,23-Jul,2,1,0.44,68,47,Geo 2,Geo 1,,,,,
8,23-Jul,1,1,0.14,56,54,Geo 3,Geo 2,,,,,
8,23-Jul,1,1,0.37,79,79,Geo 4,Geo 1,,,,,
8,23-Jul,1,1,0.43,69,63,Geo 1,Geo 4,,,,,
9,23-Jul,1,1,0.17,52,43,Geo 2,Geo 3,,,,,
9,23-Jul,1,1,0.15,57,53,Geo 3,Geo 3,,,,,
9,23-Jul,1,1,0.07,57,57,Geo 3,Geo 2,,,,,
9,23-Jul,1,1,0.06,60,43,Geo 3,Geo 2,,,,,
9,23-Jul,1,1,0.45,63,63,Geo 4,Geo 4,,,,,
9,23-Jul,1,1,0.23,51,49,Geo 4,Geo 5,,,,,
9,23-Jul,1,1,0.4,32,26,Geo 3,Geo 4,,,,,
9,23-Jul,1,1,0.3,44,30,Geo 2,Geo 2,,,,,
9,23-Jul,1,1,0,73,66,Geo 3,Geo 3,,,,,
9,23-Jul,1,1,0.46,50,47,Geo 4,Geo 1,,,,,
9,23-Jul,1,1,0.42,98,93,Geo 4,Geo 2,,,,,
9,23-Jul,1,1,0.34,81,73,Geo 4,Geo 1,,,,,
9,23-Jul,1,1,0.31,41,28,Geo 3,Geo 1,,,,,
9,23-Jul,1,1,0.04,67,66,Geo 4,Geo 2,,,,,
9,23-Jul,1,1,0.3,37,21,Geo 4,Geo 1,,,,,
9,23-Jul,1,1,0.29,39,30,Geo 4,Geo 3,,,,,
9,23-Jul,3,1,0.04,30,20,Geo 3,Geo 2,,,,,
9,23-Jul,1,1,0.19,80,79,Geo 4,Geo 1,,,,,
9,23-Jul,3,1,0.19,31,27,Geo 3,Geo 1,,,,,
9,23-Jul,1,1,0.21,51,38,Geo 2,Geo 5,,,,,
9,23-Jul,1,1,0.47,61,53,Geo 4,Geo 2,,,,,
9,23-Jul,1,1,0.43,32,19,Geo 4,Geo 2,,,,,
9,23-Jul,1,1,0.14,61,55,Geo 3,Geo 2,,,,,
9,23-Jul,1,1,0.21,59,56,Geo 4,Geo 3,,,,,
9,23-Jul,1,1,0.14,72,64,Geo 4,Geo 2,,,,,
9,23-Jul,1,1,0.1,63,54,Geo 4,Geo 2,,,,,
9,23-Jul,1,1,0.38,32,18,Geo 1,Geo 3,,,,,
9,23-Jul,1,1,0.3,34,18,Geo 3,Geo 1,,,,,
9,23-Jul,1,1,0.02,37,30,Geo 3,Geo 2,,,,,
9,23-Jul,1,1,0.41,82,70,Geo 1,Geo 2,,,,,
9,23-Jul,1,1,0.24,33,19,Geo 3,Geo 4,,,,,
9,23-Jul,1,1,0.27,72,71,Geo 3,Geo 3,,,,,
9,23-Jul,1,1,0.25,35,22,Geo 1,Geo 4,,,,,
9,23-Jul,1,1,0.3,40,25,Geo 3,Geo 2,,,,,
9,23-Jul,1,1,0.23,67,39,Geo 3,Geo 5,,,,,
9,23-Jul,1,1,0.21,50,43,Geo 3,Geo 4,,,,,
9,23-Jul,1,1,0.08,57,53,Geo 4,Geo 4,,,,,
9,23-Jul,1,1,0.13,56,47,Geo 2,Geo 4,,,,,
9,23-Jul,1,1,0.29,95,85,Geo 3,Geo 2,,,,,
9,23-Jul,1,1,0.33,47,43,Geo 4,Geo 2,,,,,
9,23-Jul,1,1,0,69,62,Geo 4,Geo 2,,,,,
9,23-Jul,1,1,0.08,53,47,Geo 4,Geo 5,,,,,
9,23-Jul,1,1,0.05,80,72,Geo 4,Geo 4,,,,,
9,23-Jul,1,1,0.42,74,72,Geo 3,Geo 2,,,,,
9,23-Jul,1,1,0.23,65,58,Geo 4,Geo 1,,,,,
9,23-Jul,1,1,0.37,31,22,Geo 3,Geo 3,,,,,
9,23-Jul,1,1,0.14,34,21,Geo 4,Geo 1,,,,,
9,23-Jul,1,1,0.08,72,63,Geo 4,Geo 3,,,,,
9,23-Jul,1,1,0.28,37,22,Geo 3,Geo 1,,,,,
9,23-Jul,1,1,0.47,36,36,Geo 4,Geo 3,,,,,
9,23-Jul,1,1,0.17,34,23,Geo 4,Geo 4,,,,,
9,23-Jul,1,1,0.03,38,25,Geo 3,Geo 2,,,,,
9,23-Jul,1,1,0.46,56,41,Geo 3,Geo 1,,,,,
9,23-Jul,1,1,0.11,37,18,Geo 3,Geo 3,,,,,
9,23-Jul,1,1,0.31,31,21,Geo 3,Geo 1,,,,,
9,23-Jul,1,1,0.44,88,73,Geo 1,Geo 2,,,,,
9,23-Jul,1,1,0.09,46,36,Geo 1,Geo 2,,,,,
10,23-Jul,1,1,0.48,49,42,Geo 2,Geo 2,,,,,
10,23-Jul,1,1,0.16,60,33,Geo 1,Geo 1,,,,,
10,23-Jul,1,1,0.15,61,54,Geo 2,Geo 2,,,,,
10,23-Jul,1,1,0.23,61,44,Geo 4,Geo 4,,,,,
10,23-Jul,1,1,0.33,74,72,Geo 1,Geo 2,,,,,
10,23-Jul,1,1,0.41,40,25,Geo 2,Geo 3,,,,,
10,23-Jul,1,1,0.33,78,74,Geo 2,Geo 4,,,,,
10,23-Jul,1,1,0.25,31,28,Geo 3,Geo 1,,,,,
10,23-Jul,1,1,0.49,32,14,Geo 1,Geo 3,,,,,
10,23-Jul,2,1,0.12,41,30,Geo 1,Geo 2,,,,,
10,23-Jul,1,1,0.3,45,37,Geo 3,Geo 1,,,,,
10,23-Jul,1,1,0.45,75,71,Geo 4,Geo 5,,,,,
10,23-Jul,1,1,0.06,78,71,Geo 4,Geo 5,,,,,
10,23-Jul,1,1,0.24,37,26,Geo 3,Geo 1,,,,,
10,23-Jul,1,1,0.2,55,55,Geo 4,Geo 3,,,,,
10,23-Jul,1,1,0.35,57,49,Geo 3,Geo 4,,,,,
10,23-Jul,1,1,0.09,74,72,Geo 2,Geo 1,,,,,
10,23-Jul,1,1,0.35,87,76,Geo 2,Geo 2,,,,,
10,23-Jul,1,1,0.09,87,80,Geo 2,Geo 2,,,,,
10,23-Jul,1,1,0.35,61,58,Geo 4,Geo 1,,,,,
10,23-Jul,1,1,0.41,51,33,Geo 4,Geo 2,,,,,
10,23-Jul,1,1,0.49,30,21,Geo 4,Geo 4,,,,,
10,23-Jul,1,1,0.36,33,14,Geo 1,Geo 1,,,,,
10,23-Jul,1,1,0.34,44,36,Geo 1,Geo 2,,,,,
10,23-Jul,1,1,0.44,81,66,Geo 2,Geo 3,,,,,
10,23-Jul,1,1,0.33,39,22,Geo 4,Geo 2,,,,,
10,23-Jul,1,1,0.46,48,40,Geo 2,Geo 1,,,,,
10,23-Jul,1,1,0.01,38,30,Geo 3,Geo 2,,,,,
10,23-Jul,1,1,0.45,32,21,Geo 4,Geo 2,,,,,
10,23-Jul,1,1,0.12,63,49,Geo 3,Geo 1,,,,,
11,23-Jul,1,1,0.22,35,27,Geo 4,Geo 2,,,,,
11,23-Jul,1,1,0.43,43,32,Geo 2,Geo 1,,,,,
11,23-Jul,1,1,0.33,95,85,Geo 1,Geo 1,,,,,
11,23-Jul,1,1,0.28,36,31,Geo 3,Geo 2,,,,,
11,23-Jul,1,1,0.49,37,37,Geo 2,Geo 2,,,,,
11,23-Jul,1,1,0.08,33,19,Geo 2,Geo 3,,,,,
11,23-Jul,1,1,0.32,62,54,Geo 3,Geo 4,,,,,
11,23-Jul,1,1,0.07,96,85,Geo 4,Geo 2,,,,,
10,23-Jul,1,1,0.13,90,84,Geo 3,Geo 5,,,,,
11,23-Jul,1,1,0.37,41,22,Geo 1,Geo 1,,,,,
11,23-Jul,1,1,0.14,63,57,Geo 2,Geo 2,,,,,
11,23-Jul,1,1,0.37,55,51,Geo 3,Geo 4,,,,,
11,23-Jul,1,1,0.17,72,71,Geo 1,Geo 2,,,,,
11,23-Jul,1,1,0.49,39,19,Geo 3,Geo 1,,,,,
11,23-Jul,1,1,0.33,41,26,Geo 2,Geo 1,,,,,
11,23-Jul,1,1,0.11,60,54,Geo 1,Geo 2,,,,,
11,23-Jul,1,1,0.37,31,23,Geo 3,Geo 3,,,,,
11,23-Jul,1,1,0.14,61,52,Geo 2,Geo 3,,,,,
11,23-Jul,1,1,0.23,38,24,Geo 2,Geo 2,,,,,
11,23-Jul,1,1,0.04,41,18,Geo 2,Geo 4,,,,,
11,23-Jul,1,1,0.08,31,19,Geo 3,Geo 3,,,,,
11,23-Jul,1,1,0.01,32,21,Geo 1,Geo 1,,,,,
11,23-Jul,1,1,0.14,99,98,Geo 1,Geo 3,,,,,
11,23-Jul,1,1,0.22,36,30,Geo 1,Geo 1,,,,,
11,23-Jul,1,1,0.02,89,83,Geo 2,Geo 3,,,,,
11,23-Jul,1,1,0.28,89,83,Geo 2,Geo 2,,,,,
11,23-Jul,1,1,0.2,65,39,Geo 2,Geo 4,,,,,
11,23-Jul,1,1,0.38,72,64,Geo 2,Geo 2,,,,,
11,23-Jul,1,1,0.03,76,65,Geo 3,Geo 1,,,,,
11,23-Jul,1,1,0.3,95,87,Geo 4,Geo 3,,,,,
11,23-Jul,1,1,0.34,37,25,Geo 1,Geo 2,,,,,
11,23-Jul,1,1,0.13,84,79,Geo 1,Geo 2,,,,,
11,23-Jul,1,1,0.12,54,50,Geo 3,Geo 3,,,,,
10,23-Jul,1,1,0.09,50,39,Geo 3,Geo 2,,,,,
11,23-Jul,1,1,0.16,94,90,Geo 1,Geo 4,,,,,
11,23-Jul,1,1,0.19,32,20,Geo 1,Geo 4,,,,,
11,23-Jul,1,1,0.35,75,67,Geo 4,Geo 3,,,,,
11,23-Jul,1,1,0.36,62,52,Geo 1,Geo 1,,,,,
11,23-Jul,1,1,0.1,67,38,Geo 1,Geo 1,,,,,
12,23-Jul,1,1,0.12,48,32,Geo 3,Geo 2,,,,,
11,23-Jul,1,1,0.19,90,87,Geo 4,Geo 1,,,,,
12,23-Jul,1,1,0.36,48,33,Geo 1,Geo 1,,,,,
12,23-Jul,1,1,0.45,73,66,Geo 4,Geo 2,,,,,
12,23-Jul,1,1,0.47,35,33,Geo 3,Geo 1,,,,,
12,23-Jul,1,1,0.1,96,94,Geo 3,Geo 1,,,,,
12,23-Jul,1,1,0.44,67,61,Geo 3,Geo 3,,,,,
12,23-Jul,1,1,0.18,33,18,Geo 1,Geo 1,,,,,
12,23-Jul,1,1,0.35,71,64,Geo 1,Geo 5,,,,,
12,23-Jul,1,1,0.05,56,50,Geo 1,Geo 2,,,,,
12,23-Jul,1,1,0.02,30,20,Geo 3,Geo 4,,,,,
12,23-Jul,1,1,0.02,44,42,Geo 1,Geo 3,,,,,
12,23-Jul,1,1,0.14,37,20,Geo 2,Geo 3,,,,,
12,23-Jul,1,1,0.25,82,78,Geo 2,Geo 1,,,,,
12,23-Jul,1,1,0.48,46,41,Geo 1,Geo 5,,,,,
12,23-Jul,1,1,0.35,35,29,Geo 1,Geo 2,,,,,
12,23-Jul,1,1,0.3,64,54,Geo 2,Geo 4,,,,,
12,23-Jul,1,1,0.4,41,19,Geo 2,Geo 2,,,,,
12,23-Jul,1,1,0.44,31,12,Geo 3,Geo 3,,,,,
12,23-Jul,1,1,0.09,72,63,Geo 2,Geo 1,,,,,
13,23-Jul,1,1,0.1,87,78,Geo 4,Geo 3,,,,,
12,23-Jul,1,1,0.24,43,25,Geo 3,Geo 4,,,,,
12,23-Jul,1,1,0.45,53,38,Geo 1,Geo 4,,,,,
12,23-Jul,1,1,0.26,52,44,Geo 1,Geo 2,,,,,
12,23-Jul,1,1,0.16,95,92,Geo 1,Geo 1,,,,,
12,23-Jul,1,1,0.39,72,70,Geo 4,Geo 3,,,,,
12,23-Jul,1,1,0.33,39,19,Geo 1,Geo 2,,,,,
12,23-Jul,1,1,0.33,69,42,Geo 2,Geo 4,,,,,
12,23-Jul,1,1,0.09,57,37,Geo 1,Geo 1,,,,,
12,23-Jul,1,1,0.31,54,47,Geo 1,Geo 4,,,,,
12,23-Jul,1,1,0.38,71,63,Geo 1,Geo 2,,,,,
12,23-Jul,1,1,0.05,77,69,Geo 2,Geo 2,,,,,
12,23-Jul,1,1,0.48,86,80,Geo 2,Geo 1,,,,,
12,23-Jul,1,1,0.29,91,77,Geo 1,Geo 3,,,,,
12,23-Jul,1,1,0.12,30,11,Geo 3,Geo 1,,,,,
12,23-Jul,1,1,0.14,58,37,Geo 2,Geo 5,,,,,
12,23-Jul,1,1,0.22,41,19,Geo 3,Geo 1,,,,,
12,23-Jul,1,1,0.18,32,29,Geo 1,Geo 2,,,,,
13,23-Jul,1,1,0.17,48,46,Geo 1,Geo 1,,,,,
13,23-Jul,1,1,0.37,48,40,Geo 4,Geo 4,,,,,
13,23-Jul,3,1,0.41,63,61,Geo 4,Geo 1,,,,,
13,23-Jul,1,1,0.27,42,38,Geo 3,Geo 4,,,,,
13,23-Jul,1,1,0.31,37,29,Geo 2,Geo 1,,,,,
13,23-Jul,1,1,0.19,61,52,Geo 2,Geo 2,,,,,
13,23-Jul,1,1,0.39,35,26,Geo 2,Geo 2,,,,,
13,23-Jul,1,1,0.2,62,47,Geo 1,Geo 1,,,,,
13,23-Jul,1,1,0.26,67,59,Geo 2,Geo 3,,,,,
13,23-Jul,1,1,0.1,40,23,Geo 2,Geo 2,,,,,
13,23-Jul,1,1,0.28,77,70,Geo 4,Geo 1,,,,,
13,23-Jul,1,1,0.17,79,76,Geo 4,Geo 1,,,,,
13,23-Jul,1,1,0.16,41,34,Geo 4,Geo 2,,,,,
13,23-Jul,1,1,0.06,48,39,Geo 3,Geo 1,,,,,
13,23-Jul,1,1,0.31,33,20,Geo 1,Geo 1,,,,,
13,23-Jul,1,1,0.49,52,46,Geo 2,Geo 1,,,,,
13,23-Jul,1,1,0.48,98,95,Geo 1,Geo 1,,,,,
13,23-Jul,1,1,0.47,75,75,Geo 3,Geo 3,,,,,
